img,label
"[[[148 158 157]
  [104 114 113]
  [  6  15  14]
  ...
  [132 149 141]
  [120 137 129]
  [101 118 108]]

 [[ 80  89  88]
  [ 35  44  43]
  [  0   5   4]
  ...
  [124 141 135]
  [125 142 134]
  [ 97 114 104]]

 [[ 39  45  45]
  [  0   2   2]
  [  0   5   5]
  ...
  [123 142 138]
  [118 137 131]
  [ 92 112 103]]

 ...

 [[  1   1   0]
  [  0   2   0]
  [  0   2   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  2   0   1]
  [  2   0   1]
  [  2   0   3]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  2   0   1]
  [  2   0   1]
  [  4   0   3]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]]",42
"[[[ 58  87 127]
  [ 59  87 126]
  [ 65  87 124]
  ...
  [ 68  91 135]
  [ 69  91 140]
  [ 65  87 136]]

 [[ 58  83 123]
  [ 58  82 120]
  [ 62  82 119]
  ...
  [ 61  84 128]
  [ 63  85 132]
  [ 64  86 133]]

 [[ 64  82 122]
  [ 65  80 119]
  [ 67  79 117]
  ...
  [ 57  79 120]
  [ 59  80 123]
  [ 62  83 128]]

 ...

 [[225 167 130]
  [200 146 112]
  [154 107  81]
  ...
  [189 189 103]
  [199 197 114]
  [204 202 119]]

 [[106  74  63]
  [ 77  48  40]
  [ 70  44  43]
  ...
  [185 185  97]
  [193 191 108]
  [203 200 119]]

 [[ 55  37  37]
  [ 51  35  38]
  [ 59  45  58]
  ...
  [180 180  90]
  [186 184 101]
  [203 200 121]]]",64
"[[[ 83 100 128]
  [ 83 100 128]
  [ 84 101 131]
  ...
  [ 53  56  71]
  [ 50  53  72]
  [ 50  53  72]]

 [[ 81 101 128]
  [ 80 100 127]
  [ 77  96 126]
  ...
  [ 55  58  73]
  [ 51  54  71]
  [ 48  51  68]]

 [[ 77  98 127]
  [ 74  95 124]
  [ 70  91 122]
  ...
  [ 57  59  72]
  [ 52  55  70]
  [ 47  50  65]]

 ...

 [[149 153  94]
  [160 165 109]
  [130 136  90]
  ...
  [248 191  39]
  [236 181  26]
  [248 195  39]]

 [[145 151 103]
  [135 141  95]
  [124 130  86]
  ...
  [239 182  30]
  [239 184  29]
  [248 193  38]]

 [[140 147 105]
  [136 143 101]
  [106 111  70]
  ...
  [231 174  22]
  [243 186  34]
  [246 191  36]]]",46
"[[[126 103  71]
  [132 109  77]
  [132 109  78]
  ...
  [ 95  69  36]
  [ 99  70  38]
  [104  75  43]]

 [[145 122  88]
  [148 125  91]
  [148 125  93]
  ...
  [115  89  56]
  [105  76  44]
  [107  78  46]]

 [[159 135  99]
  [158 134  98]
  [161 137 101]
  ...
  [131 105  70]
  [126  97  63]
  [127  98  64]]

 ...

 [[248 224 200]
  [246 222 196]
  [243 222 195]
  ...
  [131  97  60]
  [151 115  79]
  [157 119  83]]

 [[244 216 192]
  [242 216 191]
  [241 220 191]
  ...
  [128  93  55]
  [172 134  97]
  [171 131  95]]

 [[240 210 186]
  [238 211 184]
  [239 218 189]
  ...
  [146 111  73]
  [167 128  89]
  [180 138 100]]]",20
"[[[ 46  33  61]
  [ 47  35  59]
  [ 46  35  52]
  ...
  [ 57  49  73]
  [ 66  61  84]
  [ 59  54  77]]

 [[ 48  35  63]
  [ 49  37  61]
  [ 45  34  51]
  ...
  [ 61  53  77]
  [ 69  64  87]
  [ 54  49  72]]

 [[ 51  38  66]
  [ 51  39  63]
  [ 45  34  51]
  ...
  [ 70  62  85]
  [ 70  65  87]
  [ 60  55  77]]

 ...

 [[ 14   9  13]
  [ 15  10  14]
  [ 14   8  12]
  ...
  [129 125 152]
  [128 123 146]
  [129 121 144]]

 [[ 12   7  13]
  [ 14   9  15]
  [ 16  10  14]
  ...
  [125 121 146]
  [125 120 143]
  [137 132 154]]

 [[ 14   9  15]
  [ 13   8  14]
  [ 12   6  10]
  ...
  [133 129 154]
  [148 143 166]
  [150 145 167]]]",11
"[[[ 24  10   0]
  [ 30  16   3]
  [ 29  15   4]
  ...
  [ 60  33   6]
  [ 46  20   7]
  [ 30   5   0]]

 [[ 61  45  32]
  [ 61  45  32]
  [ 54  37  27]
  ...
  [ 90  64  37]
  [ 96  71  51]
  [ 91  68  52]]

 [[ 52  34  22]
  [ 45  27  15]
  [ 46  26  15]
  ...
  [ 35  12   0]
  [ 37  16   0]
  [ 35  14   0]]

 ...

 [[ 91  71  20]
  [ 99  79  26]
  [107  88  32]
  ...
  [ 89  76  57]
  [ 81  68  51]
  [ 65  53  37]]

 [[105  85  35]
  [107  87  36]
  [ 99  78  25]
  ...
  [ 64  52  36]
  [ 48  36  22]
  [ 39  30  15]]

 [[ 82  62  12]
  [ 91  71  20]
  [103  81  31]
  ...
  [ 50  38  22]
  [ 27  17   5]
  [ 26  16   4]]]",32
"[[[236 232 231]
  [236 232 231]
  [236 232 231]
  ...
  [227 223 224]
  [226 222 223]
  [225 221 222]]

 [[237 233 232]
  [237 233 232]
  [236 232 231]
  ...
  [227 223 224]
  [226 222 223]
  [225 221 222]]

 [[238 234 233]
  [237 233 232]
  [237 233 232]
  ...
  [227 223 224]
  [227 223 224]
  [226 222 223]]

 ...

 [[ 55  39  39]
  [ 33  21  21]
  [ 32  26  26]
  ...
  [112  79  70]
  [ 46  23  29]
  [ 36  20  31]]

 [[ 91  73  69]
  [ 36  22  19]
  [ 37  29  27]
  ...
  [108  78  70]
  [ 37  14  20]
  [ 39  21  33]]

 [[137 120 113]
  [ 39  26  20]
  [ 32  24  21]
  ...
  [ 98  69  61]
  [ 39  16  22]
  [ 39  19  31]]]",119
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [254 254 254]
  [255 253 254]
  [254 252 253]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 254 255]
  [255 253 254]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [254 254 254]
  [254 254 254]
  [253 253 253]]

 ...

 [[247 211 211]
  [242 208 207]
  [236 204 205]
  ...
  [121  73  61]
  [130  78  65]
  [138  86  73]]

 [[248 214 215]
  [246 214 217]
  [242 213 217]
  ...
  [118  74  65]
  [124  76  66]
  [133  83  72]]

 [[252 220 223]
  [252 222 224]
  [247 220 225]
  ...
  [101  58  49]
  [111  64  56]
  [120  72  62]]]",23
"[[[164 157 129]
  [162 156 130]
  [163 157 135]
  ...
  [ 21  22  17]
  [ 21  22  16]
  [ 21  22  16]]

 [[163 156 130]
  [160 154 128]
  [158 153 131]
  ...
  [ 22  23  18]
  [ 22  23  17]
  [ 21  22  16]]

 [[162 156 132]
  [160 154 130]
  [157 152 132]
  ...
  [ 23  24  19]
  [ 22  23  18]
  [ 21  22  17]]

 ...

 [[ 32  34  49]
  [ 24  26  41]
  [166 169 184]
  ...
  [ 45  45  43]
  [ 47  47  47]
  [ 46  46  46]]

 [[ 24  26  39]
  [ 26  28  41]
  [152 155 170]
  ...
  [ 44  44  44]
  [ 47  47  49]
  [ 45  45  47]]

 [[ 30  32  45]
  [ 20  22  35]
  [134 137 152]
  ...
  [ 39  39  39]
  [ 43  43  45]
  [ 42  42  44]]]",54
"[[[110  78  89]
  [119  87  98]
  [137 105 116]
  ...
  [118  81  99]
  [115  82 101]
  [115  83 104]]

 [[110  78  89]
  [118  86  97]
  [136 104 115]
  ...
  [118  81  98]
  [115  82 101]
  [114  82 103]]

 [[110  78  89]
  [118  86  97]
  [135 103 114]
  ...
  [118  81  98]
  [115  82 101]
  [115  82 101]]

 ...

 [[ 19  15  12]
  [ 19  15  12]
  [ 19  15  12]
  ...
  [ 26  18  15]
  [ 23  13  12]
  [ 25  15  16]]

 [[ 19  18  13]
  [ 20  19  14]
  [ 19  18  13]
  ...
  [ 25  18  12]
  [ 28  18  16]
  [ 21  11  10]]

 [[ 15  16  10]
  [ 16  17  11]
  [ 18  17  12]
  ...
  [ 30  23  15]
  [ 25  15  13]
  [ 23  13  12]]]",41
